articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
8-5-2015_PS,13,13,n,0,MATCH,NA
8-5-2015_PS,5,5,n,0,MATCH,NA
8-5-2015_PS,11,11,n,0,MATCH,NA
8-5-2015_PS,11,11,n,0,MATCH,NA
8-5-2015_PS,5,5,n,0,MATCH,NA
8-5-2015_PS,68.75,62.5,ci,9.090909090909092,MINOR_ERROR,NA
8-5-2015_PS,100,100,ci,0,MATCH,NA
8-5-2015_PS,6.25,6.25,ci,0,MATCH,NA
8-5-2015_PS,50,50,ci,0,MATCH,NA
8-5-2015_PS,21.05,21.43,ci,1.805225653206646,MINOR_ERROR,NA
8-5-2015_PS,81.67,81.25,ci,0.5142647238888229,MINOR_ERROR,NA
8-5-2015_PS,p < .05,0.011342206655585642,p,NA,MATCH,TRUE
8-5-2015_PS,6.17,6.17,ci,0,MATCH,NA
8-5-2015_PS,71,71,ci,0,MATCH,NA
8-5-2015_PS,0.075,0.076,p,1.3333333333333346,MINOR_ERROR,NA
